id,x,y,width,height,text,type
0,66.0,7.5,13.0,19.0,1,y-axis-label
1,51.0,123.0,28.0,19.0,0.8,y-axis-label
2,51.0,240.0,28.0,19.0,0.6,y-axis-label
3,6.0,262.5,19.0,85.0,Likelihood,y-axis-title
4,51.0,355.5,28.0,19.0,0.4,y-axis-label
5,51.0,471.0,28.0,19.0,0.2,y-axis-label
6,66.0,586.5,13.0,20.5,0,y-axis-label
7,85.5,606.0,13.0,19.0,0,x-axis-label
8,225.0,606.0,38.5,19.0,0.02,x-axis-label
9,378.0,606.0,38.5,19.0,0.04,x-axis-label
10,531.0,606.0,38.5,19.0,0.06,x-axis-label
11,684.0,606.0,38.5,19.0,0.08,x-axis-label
12,843.0,606.0,28.0,19.0,0.1,x-axis-label
13,471.0,633.0,50.5,19.0,Score,x-axis-title
