id,x,y,width,height,text,type
0,40.5,126.0,71.5,34.0,25000,y-axis-label
1,208.5,36.0,19.0,34.0,2,legend-label
2,208.5,75.0,19.0,29.5,5,legend-label
3,208.5,112.5,35.5,29.5,10,legend-label
4,40.5,250.5,71.5,34.0,20000,y-axis-label
5,42.0,370.5,70.0,37.0,15000,y-axis-label
6,42.0,498.0,70.0,34.0,10000,y-axis-label
7,54.0,621.0,58.0,29.5,5000,y-axis-label
11,501.0,640.5,29.5,26.5,30,x-axis-label
12,634.5,642.0,29.5,29.5,40,x-axis-label
13,768.0,640.5,29.5,31.0,50,x-axis-label
14,901.5,640.5,29.5,31.0,60,x-axis-label
15,1.5,120.0,35.5,404.5,Number of Words Culled,y-axis-title
16,366.0,642.0,37.0,28.0,20,x-axis-label
17,232.5,639.0,34.0,29.5,10,x-axis-label
18,103.5,640.5,28.0,26.5,0,x-axis-label
19,474.0,666.0,85.0,31.0,WER,x-axis-title
20,36.0,4.5,77.5,29.5,30000,y-axis-label
