id,x,y,width,height,text,type
0,67.5,424.5,25.0,37.0,0.3,y-axis-label
1,67.5,342.0,25.0,37.0,0.4,y-axis-label
2,7.5,304.5,25.0,31.0,F1,y-axis-title
3,67.5,259.5,25.0,37.0,0.5,y-axis-label
4,67.5,177.0,25.0,37.0,0.6,y-axis-label
5,67.5,94.5,25.0,37.0,0.7,y-axis-label
6,67.5,12.0,25.0,37.0,0.8,y-axis-label
7,67.5,589.5,25.0,37.0,0.1,y-axis-label
8,67.5,507.0,25.0,37.0,0.2,y-axis-label
9,634.5,463.5,55.0,25.0,Joint,legend-label
10,634.5,493.5,115.0,25.0,Cascaded,legend-label
11,243.0,666.0,29.5,26.5,50,x-axis-label
12,379.5,666.0,44.5,26.5,100,x-axis-label
13,523.5,666.0,43.0,26.5,150,x-axis-label
14,666.0,666.0,44.5,26.5,200,x-axis-label
15,810.0,666.0,44.5,26.5,250,x-axis-label
16,318.0,726.0,322.0,26.5,Number of training instances,x-axis-title
