id,x,y,width,height,text,type
0,39.0,25.5,31.0,20.5,0.9,y-axis-label
1,28.5,76.5,41.5,20.5,0.85,y-axis-label
2,39.0,126.0,31.0,20.5,0.8,y-axis-label
3,28.5,175.5,41.5,22.0,0.75,y-axis-label
4,39.0,225.0,31.0,22.0,0.7,y-axis-label
5,459.0,249.0,184.0,25.0,Pattern Matching,legend-label
7,28.5,276.0,41.5,22.0,0.65,y-axis-label
8,459.0,288.0,55.0,25.0,SVM,legend-label
9,39.0,325.5,31.0,20.5,0.6,y-axis-label
10,76.5,354.0,13.0,22.0,0,x-axis-label
11,175.5,354.0,13.0,22.0,1,x-axis-label
12,273.0,354.0,14.5,22.0,2,x-axis-label
13,372.0,354.0,14.5,22.0,3,x-axis-label
14,471.0,354.0,14.5,22.0,4,x-axis-label
15,570.0,354.0,14.5,22.0,5,x-axis-label
16,669.0,354.0,14.5,22.0,6,x-axis-label
