id,x,y,width,height,text,type
0,67.5,6.0,32.5,29.5,20,y-axis-label
1,658.5,34.5,166.0,29.5,50 trans./sec.,legend-label
3,643.5,60.0,181.0,29.5,100 trans./sec.,legend-label
5,643.5,85.5,181.0,31.0,500 trans./sec.,legend-label
7,627.0,111.0,197.5,31.0,1000 trans./sec.,legend-label
9,67.5,133.5,32.5,31.0,19,y-axis-label
10,7.5,229.5,31.0,83.5,BLEU,y-axis-title
11,67.5,261.0,32.5,31.0,18,y-axis-label
12,67.5,390.0,32.5,29.5,17,y-axis-label
13,67.5,517.5,32.5,29.5,16,y-axis-label
14,108.0,543.0,97.0,31.0,0.1 sec.,x-axis-label
16,274.5,543.0,95.5,31.0,0.5 sec.,x-axis-label
18,493.5,543.0,74.5,31.0,1 sec.,x-axis-label
20,427.5,582.0,205.0,29.5,Groups duration,x-axis-title
22,910.5,543.0,73.0,31.0,2 sec.,x-axis-label
