id,x,y,width,height,text,type
0,514.5,10.5,203.5,29.5,Facts vs Levels,title
3,115.5,39.0,34.0,29.5,30,y-axis-label
4,7.5,279.0,29.5,217.0,Number of Facts,y-axis-title
7,681.0,82.5,287.5,29.5,Payload Manufacturer,legend-label
9,774.0,111.0,194.5,29.5,Payload Origin,legend-label
11,768.0,139.5,200.5,29.5,Payload Target,legend-label
13,730.5,169.5,238.0,29.5,Payload Recipient,legend-label
15,115.5,262.5,34.0,29.5,20,y-axis-label
16,115.5,486.0,34.0,29.5,10,y-axis-label
17,130.5,709.5,19.0,29.5,0,y-axis-label
18,238.5,739.5,19.0,29.5,0,x-axis-label
19,321.0,739.5,19.0,29.5,1,x-axis-label
20,402.0,739.5,19.0,29.5,2,x-axis-label
21,484.5,739.5,19.0,29.5,3,x-axis-label
22,567.0,739.5,19.0,29.5,4,x-axis-label
23,648.0,739.5,19.0,29.5,5,x-axis-label
24,573.0,768.0,86.5,29.5,Levels,x-axis-title
25,730.5,739.5,19.0,29.5,6,x-axis-label
26,813.0,739.5,17.5,29.5,7,x-axis-label
27,894.0,739.5,19.0,29.5,8,x-axis-label
28,976.5,739.5,19.0,29.5,9,x-axis-label
29,1050.0,739.5,35.5,29.5,10,x-axis-label
