id,x,y,width,height,text,type
0,48.0,7.5,55.0,32.5,550,y-axis-label
1,7.5,117.0,34.0,380.5,decoding time (seconds),y-axis-title
4,48.0,60.0,55.0,32.5,500,y-axis-label
5,247.5,69.0,518.5,22.0,"global probability recalculations, no improvement tiling",legend-label
11,247.5,97.5,488.5,23.5,"local probability calculations, no improvement tiling",legend-label
17,247.5,127.5,518.5,22.0,"global probability calculations, with improvement tiling",legend-label
23,247.5,156.0,506.5,23.5,"local probability calculations, with improvement tiling",legend-label
29,48.0,112.5,55.0,32.5,450,y-axis-label
30,48.0,163.5,55.0,34.0,400,y-axis-label
31,48.0,217.5,55.0,32.5,350,y-axis-label
32,48.0,268.5,55.0,34.0,300,y-axis-label
33,48.0,321.0,55.0,34.0,250,y-axis-label
34,48.0,373.5,55.0,34.0,200,y-axis-label
35,48.0,426.0,55.0,34.0,150,y-axis-label
36,48.0,478.5,55.0,34.0,100,y-axis-label
37,64.5,531.0,37.0,34.0,50,y-axis-label
38,82.5,583.5,20.5,34.0,0,y-axis-label
39,99.0,604.5,20.5,32.5,0,x-axis-label
40,193.5,604.5,37.0,32.5,10,x-axis-label
41,297.0,604.5,37.0,32.5,20,x-axis-label
42,399.0,604.5,37.0,32.5,30,x-axis-label
43,502.5,604.5,37.0,32.5,40,x-axis-label
44,604.5,604.5,38.5,34.0,50,x-axis-label
45,397.5,636.0,247.0,35.5,sentence length,x-axis-title
47,708.0,604.5,37.0,32.5,60,x-axis-label
48,811.5,604.5,37.0,32.5,70,x-axis-label
49,913.5,604.5,38.5,32.5,80,x-axis-label
