id,x,y,width,height,text,type
0,366.0,9.0,230.5,19.0,chart_size for lex_foot_nodes,title
3,45.0,34.5,41.5,20.5,6000,y-axis-label
4,733.5,51.0,53.5,20.5,simple,legend-label
5,736.5,69.0,50.5,20.5,earley,legend-label
6,45.0,121.5,41.5,20.5,5000,y-axis-label
7,4.5,265.5,20.5,82.0,chart_size,y-axis-title
8,45.0,210.0,41.5,19.0,4000,y-axis-label
9,45.0,297.0,41.5,20.5,3000,y-axis-label
10,45.0,384.0,41.5,20.5,2000,y-axis-label
11,45.0,472.5,41.5,19.0,1000,y-axis-label
12,75.0,559.5,11.5,20.5,0,y-axis-label
13,93.0,577.5,11.5,19.0,0,x-axis-label
14,165.0,577.5,22.0,19.0,20,x-axis-label
15,241.5,577.5,22.0,19.0,40,x-axis-label
16,318.0,577.5,22.0,19.0,60,x-axis-label
17,396.0,577.5,22.0,19.0,80,x-axis-label
18,468.0,577.5,31.0,19.0,100,x-axis-label
19,544.5,577.5,32.5,19.0,120,x-axis-label
20,420.0,603.0,122.5,20.5,lex_foot_nodes,x-axis-title
21,622.5,577.5,31.0,19.0,140,x-axis-label
22,699.0,577.5,31.0,19.0,160,x-axis-label
23,775.5,577.5,32.5,19.0,180,x-axis-label
24,853.5,577.5,31.0,19.0,200,x-axis-label
